KABUPATEN BOGOR, -6.58333, 106.71667
KABUPATEN SUKABUMI, -7.06667, 106.7
KABUPATEN CIANJUR, -6.7725, 107.08306
KABUPATEN BANDUNG, -7.1, 107.6
KABUPATEN GARUT, -7.38333, 107.76667
KABUPATEN TASIKMALAYA, -7.5, 108.13333
KABUPATEN CIAMIS, -7.28333, 108.41667
KABUPATEN KUNINGAN, -7, 108.55
KABUPATEN CIREBON, -6.8, 108.56667
KABUPATEN MAJALENGKA, -6.81667, 108.28333
KABUPATEN SUMEDANG, -6.81667, 107.98333
KABUPATEN INDRAMAYU, -6.45, 108.16667
KABUPATEN SUBANG, -6.50833, 107.7025
KABUPATEN PURWAKARTA, -6.58333, 107.45
KABUPATEN KARAWANG, -6.26667, 107.41667
KABUPATEN BEKASI, -6.24667, 107.10833
KABUPATEN BANDUNG BARAT, -6.83333, 107.48333
KABUPATEN PANGANDARAN, -7.6673, 108.64037
KOTA BOGOR, -6.59167, 106.8
KOTA SUKABUMI, -6.95, 106.93333
KOTA BANDUNG, -6.9175, 107.62444
KOTA CIREBON, -6.75, 108.55
KOTA BEKASI, -6.28333, 106.98333
KOTA DEPOK, -6.4, 106.81667
KOTA CIMAHI, -6.89167, 107.55
KOTA TASIKMALAYA, -7.35, 108.21667
KOTA BANJAR, -7.36996, 108.53209